"Role.in.Operation","County","Regions","Total.Yield.Bearing.Acreage","Acre.Ranges","Cover.Crop.Grown","Cover.Crop.Seeds","Cover.Crop.Satisfaction","Cover.Crop.Interest","Cover.Crop.Concerns","Cover.Crop.Incentives","Pollination","Beekeeper.Location","Rental.Price","Age"
"Owner/operator of almond orchard(s)","Fresno","South","80","Medium","No","","","Not sure","Increased risk of frost damage,Physical interference with operations","Increased strength of bee colonies during bloom","We rented all our bees","Near your orchard(s): from the same county or a neighboring county","125","55-64 years old"
"Owner/operator of almond orchard(s)","Merced","Central","18","Small","No","","","Yes","Cost of equipment needed to plant seeds","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","We rented all our bees","Near your orchard(s): from the same county or a neighboring county","185","55-64 years old"
"Owner/operator of almond orchard(s)","Glenn","North","78","Medium","No","","","Yes","Availability of equipment needed to plant seeds,Increased risk of frost damage,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","We rented all our bees","Out of state","195","55-64 years old"
"Owner/operator of almond orchard(s)","Madera","Central","38","Small","No","","","Not sure","Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom","We rented all our bees","Out of state","","75 years or older"
"Owner/operator of almond orchard(s)","San Joaquin","Central","5","Small","No","","","No","Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Inadequate soil type for cover crops","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds","We rented all our bees","Near your orchard(s): from the same county or a neighboring county","200","55-64 years old"
"Owner/operator of almond orchard(s)","Stanislaus","Central","20","Small","No","","","Not sure","Labor to grow/maintain it,Cost of seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","We rented all our bees","Out of state","200","35-44 years old"
"Owner/operator of almond orchard(s)","Kern","South","170","Medium","No","","","Not sure","Availability of water,Expense of water,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds","We rented all our bees","Near your orchard(s): from the same county or a neighboring county,Out of state","211","65-74 years old"
"Owner/operator of almond orchard(s)","Merced","Central","10","Small","No","","","No","Availability of water,Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations","None of these are incentives","We rented all our bees","California, but not a neighboring county","175","65-74 years old"
"Owner/operator of almond orchard(s)","Kern","South","175","Medium","No","","","Yes","Availability of water,Incompatibility with irrigation system(s),Cost of equipment needed to plant seeds,Increased risk of frost damage","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","We rented all our bees","California, but not a neighboring county","175","65-74 years old"
"Owner/operator of almond orchard(s)","Glenn","North","145","Medium","Yes","Directly from seed company","Very Satisfied","","Cost of seeds","","We rented all our bees","Near your orchard(s): from the same county or a neighboring county","210","45-54 years old"
"Owner, not responsible for day-to-day management","Fresno","South","70","Medium","No","","","Yes","We have no concerns about cover crops","None of these are incentives","We rented all our bees","Near your orchard(s): from the same county or a neighboring county","165","45-54 years old"
"Owner/operator of almond orchard(s)","Merced","Central","100","Medium","No","","","Yes","Increased risk of frost damage","Federal cost-share program that covers the cost of cover crop seeds","We rented all our bees","California, but not a neighboring county","250","55-64 years old"
"Owner/operator of almond orchard(s)","San Joaquin,Stanislaus","Central","584","Large","No","","","No","Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Increased risk of frost damage","None of these are incentives","We rented all our bees","Out of state","210","55-64 years old"
"Farm manager (not owner)","Fresno","South","29","Small","Yes","Private cost-share program (e.g., Seeds for Bees)","Very Satisfied","","Incompatibility with irrigation system(s),Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations","","We supplied all of our own bee pollination","","","25-34 years old"
"Owner/operator of almond orchard(s)","San Joaquin","Central","300","Large","Yes","PCA/CCA/Crop consultant","Very Satisfied","","Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","","We rented all our bees","Out of state","200","55-64 years old"
"Owner/operator of almond orchard(s)","Stanislaus","Central","18","Small","No","","","No","We have no concerns about cover crops","None of these are incentives","We rented all our bees","Out of state","200","55-64 years old"
"Owner/operator of almond orchard(s)","Stanislaus","Central","175","Medium","Yes","Private cost-share program (e.g., Seeds for Bees)","Somewhat Satisfied","","Increased risk of frost damage,Physical interference with operations","","We rented all our bees","Out of state","195","55-64 years old"
"Owner/operator of almond orchard(s)","Merced","Central","240","Large","Yes","Private cost-share program (e.g., Seeds for Bees)","Somewhat Satisfied","","Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","","We rented some bees and supplied some of our own","Near your orchard(s): from the same county or a neighboring county","180","55-64 years old"
"Owner/operator of almond orchard(s)","Stanislaus","Central","20","Small","Yes","PCA/CCA/Crop consultant","Very Satisfied","","Effort/time to manage it,Increased risk of frost damage,Physical interference with operations","","We rented all our bees","Out of state","205","55-64 years old"
"Owner, not responsible for day-to-day management","Tulare","South","50","Medium","No","","","Not sure","Prefer not to answer","Prefer not to answer","We supplied all of our own bee pollination","","","35-44 years old"
"Farm manager (not owner)","Stanislaus","Central","240","Large","Yes","PCA/CCA/Crop consultant","Not Satisfied","","Incompatibility with irrigation system(s)","","We rented all our bees","California, but not a neighboring county","210","35-44 years old"
"Owner/operator of almond orchard(s)","San Joaquin","Central","80","Medium","Yes","Directly from seed company","Very Satisfied","","Increased risk of frost damage,Limited time for planting due to competing operations","","We rented some bees and supplied some of our own","Out of state","195","45-54 years old"
"Farm manager (not owner)","Tulare","South","300","Large","No","","","Yes","Effort/time to manage it,Cost of seeds,Physical interference with operations","Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom","We rented all our bees","California, but not a neighboring county,Out of state","175","25-34 years old"
"Owner/operator of almond orchard(s)","Merced","Central","105","Medium","Yes","Directly from seed company","Somewhat Satisfied","","Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations","","We supplied all of our own bee pollination","","","25-34 years old"
"Owner/operator of almond orchard(s)","Fresno,Tulare","South","440","Large","Yes","Private cost-share program (e.g., Seeds for Bees),Directly from seed company","Very Satisfied","","Effort/time to manage it,Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations","","We rented some bees and supplied some of our own","California, but not a neighboring county,Out of state","220","45-54 years old"
"Farm manager (not owner)","Tulare","South","650","Large","No","","","Not sure","Effort/time to manage it,Labor to grow/maintain it","Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds","We rented all our bees","Prefer not to answer","210","35-44 years old"
"Farm manager (not owner)","Tulare","South","675","Large","No","","","No","We have no concerns about cover crops","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","We rented all our bees","Out of state","200","35-44 years old"
"Owner, not responsible for day-to-day management","Stanislaus","Central","9","Small","No","","","Not sure","Physical interference with operations","Increased strength of bee colonies during bloom","We supplied all of our own bee pollination","","","45-54 years old"
"Farm manager (not owner)","Madera","Central","120","Medium","Yes","Directly from seed company","Very Satisfied","","Availability of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds","","We rented all our bees","California, but not a neighboring county","200","25-34 years old"
"Owner/operator of almond orchard(s)","Stanislaus","Central","16","Small","No","","","No","Increased risk of frost damage,Physical interference with operations","Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds","We rented all our bees","Out of state","175","45-54 years old"
"Owner/operator of almond orchard(s)","Stanislaus","Central","150","Medium","No","","","Yes","Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Federal cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom","We rented all our bees","Out of state","190","65-74 years old"
"Owner/operator of almond orchard(s)","Stanislaus","Central","20","Small","Yes","Private cost-share program (e.g., Seeds for Bees)","Not Satisfied","","Labor to grow/maintain it,Increased risk of frost damage,Limited time for planting due to competing operations,Physical interference with operations","","We supplied all of our own bee pollination","","","55-64 years old"
"Farm manager (not owner)","Tulare","South","270","Large","No","","","Not sure","Effort/time to manage it","Decreased rental fee for managed bee colonies","We rented all our bees","California, but not a neighboring county","190","35-44 years old"
"Farm manager (not owner)","Merced","Central","880","Large","No","","","No","Effort/time to manage it","Increased strength of bee colonies during bloom","We rented all our bees","Out of state","185","45-54 years old"
"Owner, not responsible for day-to-day management","Madera","Central","48","Medium","Yes","Private cost-share program (e.g., Seeds for Bees)","Somewhat Satisfied","","Availability of water","","We supplied all of our own bee pollination","","","35-44 years old"
"Owner/operator of almond orchard(s)","Stanislaus","Central","130","Medium","No","","","No","Expense of water,Effort/time to manage it,Labor to grow/maintain it","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom","We rented some bees and supplied some of our own","Near your orchard(s): from the same county or a neighboring county","210","35-44 years old"
"Owner/operator of almond orchard(s)","Fresno","South","305","Large","Yes","Private cost-share program (e.g., Seeds for Bees)","Very Satisfied","","Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations","","We rented all our bees","California, but not a neighboring county","190","45-54 years old"
"Owner/operator of almond orchard(s)","Stanislaus","Central","18","Small","No","","","Not sure","Effort/time to manage it,Labor to grow/maintain it","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Easy/affordable access to equipment needed to plant seeds","We rented all our bees","Near your orchard(s): from the same county or a neighboring county","185","75 years or older"
"Owner/operator of almond orchard(s)","Tehama","North","0","Small","Yes","Private cost-share program (e.g., Seeds for Bees)","Somewhat Satisfied","","Availability of equipment needed to plant seeds","","Our orchards were not mature enough for bee pollination","","","55-64 years old"
"Owner, not responsible for day-to-day management","Fresno","South","370","Large","Yes","Directly from seed company","Very Satisfied","","We have no concerns about cover crops","","We rented some bees and supplied some of our own","California, but not a neighboring county,Out of state","200","45-54 years old"
"Owner/operator of almond orchard(s)","Tehama","North","70","Medium","Yes","Private cost-share program (e.g., Seeds for Bees)","Somewhat Satisfied","","Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Cost of seeds,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations","","We supplied all of our own bee pollination","","","55-64 years old"
"Owner/operator of almond orchard(s)","San Joaquin","Central","25","Small","No","","","Yes","We have no concerns about cover crops","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Easy/affordable access to equipment needed to plant seeds","Our orchards were not mature enough for bee pollination","","","55-64 years old"
"Farm manager (not owner)","Sacramento","Delta","60","Medium","No","","","Yes","Limited time for planting due to competing operations","Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","We rented all our bees","Near your orchard(s): from the same county or a neighboring county","165","55-64 years old"
"Owner/operator of almond orchard(s)","Glenn","North","19","Small","No","","","Not sure","Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds","Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","We supplied all of our own bee pollination","","","25-34 years old"
"Farm manager (not owner)","Stanislaus","Central","10","Small","Yes","Private cost-share program (e.g., Seeds for Bees)","Very Satisfied","","Availability of water,Expense of water,Increased risk of frost damage","","We rented all our bees","Near your orchard(s): from the same county or a neighboring county","180","25-34 years old"
"Owner/operator of almond orchard(s)","Stanislaus","Central","90","Medium","No","","","Not sure","Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","None of these are incentives","We rented all our bees","Out of state","180","65-74 years old"
"Owner, not responsible for day-to-day management","Butte","North","24","Small","No","","","Not sure","We have no concerns about cover crops","None of these are incentives","We rented all our bees","Near your orchard(s): from the same county or a neighboring county","180","65-74 years old"
"Owner/operator of almond orchard(s)","Merced","Central","12","Small","No","","","No","Availability of water","Decreased rental fee for managed bee colonies","We rented all our bees","California, but not a neighboring county","70","55-64 years old"
"Owner/operator of almond orchard(s)","Fresno","South","900","Large","No","","","Not sure","Availability of water,Incompatibility with irrigation system(s)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Increased strength of bee colonies during bloom","We rented all our bees","Out of state","190","65-74 years old"
"Owner, not responsible for day-to-day management","Tulare","South","57","Medium","No","","","Not sure","Prefer not to answer","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","Our orchards were not mature enough for bee pollination","","","18-24 years old"
"Farm manager (not owner)","Colusa","North","850","Large","Yes","Directly from seed company","Very Satisfied","","Inadequate soil type for cover crops","","We rented all our bees","Out of state","195","35-44 years old"
"Owner, not responsible for day-to-day management","Stanislaus","Central","60","Medium","No","","","Not sure","Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","We rented some bees and supplied some of our own","California, but not a neighboring county","180","35-44 years old"
"Farm manager (not owner)","Stanislaus","Central","16","Small","No","","","Not sure","Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Decreased rental fee for managed bee colonies","We rented all our bees","Near your orchard(s): from the same county or a neighboring county","","45-54 years old"
"Farm manager (not owner)","Yolo,Solano","Delta","0","Small","Yes","Directly from seed company","Very Satisfied","","We have no concerns about cover crops","","Our orchards were not mature enough for bee pollination","","","18-24 years old"
"Farm manager (not owner)","Solano","Delta","0","Small","Yes","Directly from seed company","Very Satisfied","","Increased risk of frost damage","","Our orchards were not mature enough for bee pollination","","","25-34 years old"
"Owner/operator of almond orchard(s)","San Joaquin,Stanislaus","Central","900","Large","Yes","Private cost-share program (e.g., Seeds for Bees)","Somewhat Satisfied","","Availability of water,Incompatibility with irrigation system(s),Effort/time to manage it,Cost of seeds,Limited time for planting due to competing operations,Physical interference with operations","","We rented all our bees","California, but not a neighboring county,Out of state","190","25-34 years old"
"Farm manager (not owner)","Colusa","North","20","Small","No","","","Not sure","We have no concerns about cover crops","Easy/affordable access to equipment needed to plant seeds","We rented all our bees","Near your orchard(s): from the same county or a neighboring county","190","25-34 years old"
"Owner/operator of almond orchard(s)","Fresno","South","3000","Large","No","","","Not sure","Incompatibility with irrigation system(s),Physical interference with operations","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom","We rented all our bees","Out of state","190","55-64 years old"
"Owner/operator of almond orchard(s)","Stanislaus","Central","40","Small","No","","","Yes","Labor to grow/maintain it,Cost of seeds,Increased risk of frost damage,Limited time for planting due to competing operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom","We rented all our bees","Out of state","185","45-54 years old"
"Owner, not responsible for day-to-day management","Merced","Central","60","Medium","No","","","No","Prefer not to answer","Decreased rental fee for managed bee colonies","We rented some bees and supplied some of our own","Near your orchard(s): from the same county or a neighboring county","190","45-54 years old"
"Owner/operator of almond orchard(s)","San Joaquin","Central","29","Small","No","","","Not sure","Inadequate soil type for cover crops,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations","None of these are incentives","We rented all our bees","Out of state","175","65-74 years old"
"Owner, not responsible for day-to-day management","Merced","Central","7.5","Small","No","","","No","Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Limited time for planting due to competing operations","Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds","We rented all our bees","Near your orchard(s): from the same county or a neighboring county","N/A","75 years or older"
"Owner, not responsible for day-to-day management","Stanislaus","Central","40","Small","No","","","No","Prefer not to answer","Prefer not to answer","We rented some bees and supplied some of our own","California, but not a neighboring county","200","25-34 years old"
"Owner/operator of almond orchard(s)","San Joaquin,Stanislaus,Merced","Central","25","Small","No","","","Yes","Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","We rented all our bees","Near your orchard(s): from the same county or a neighboring county","180","45-54 years old"
"Owner/operator of almond orchard(s)","Fresno","South","60","Medium","No","","","No","Availability of water,Expense of water,Incompatibility with irrigation system(s),Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds","We rented all our bees","Near your orchard(s): from the same county or a neighboring county","200","25-34 years old"
"Owner/operator of almond orchard(s)","San Joaquin,Stanislaus","Central","235","Large","Yes","Private cost-share program (e.g., Seeds for Bees)","Very Satisfied","","We have no concerns about cover crops","","We rented all our bees","California, but not a neighboring county","185","55-64 years old"
"Owner, not responsible for day-to-day management","Merced","Central","50","Medium","Yes","Directly from seed company","Very Satisfied","","We have no concerns about cover crops","","We rented some bees and supplied some of our own","California, but not a neighboring county","","75 years or older"
"Owner/operator of almond orchard(s)","Stanislaus","Central","200","Medium","Yes","PCA/CCA/Crop consultant","Somewhat Satisfied","","Increased risk of frost damage","","We rented all our bees","California, but not a neighboring county","160","55-64 years old"
"Owner/operator of almond orchard(s)","Kern","South","20","Small","No","","","No","Availability of water,Expense of water,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds","None of these are incentives","We rented all our bees","California, but not a neighboring county","200","55-64 years old"
"Owner/operator of almond orchard(s)","Kern","South","17","Small","No","","","No","Availability of water,Incompatibility with irrigation system(s),Effort/time to manage it","Increased strength of bee colonies during bloom","We rented all our bees","California, but not a neighboring county","200","65-74 years old"
"Owner/operator of almond orchard(s)","Stanislaus","Central","20","Small","No","","","Not sure","Expense of water,Cost of seeds,Increased risk of frost damage","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Federal cost-share program that covers the cost of cover crop seeds","We rented all our bees","Out of state","250","25-34 years old"
"Owner/operator of almond orchard(s)","Kern","South","0","Small","No","","","No","Availability of water,Incompatibility with irrigation system(s)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom","Our orchards were not mature enough for bee pollination","","","45-54 years old"
"Owner/operator of almond orchard(s)","Fresno","South","20","Small","Yes","Directly from seed company,PCA/CCA/Crop consultant","Very Satisfied","","Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","","We rented all our bees","California, but not a neighboring county","N/A","35-44 years old"
"Owner/operator of almond orchard(s)","Fresno","South","35","Small","No","","","Yes","Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it","None of these are incentives","We rented all our bees","Near your orchard(s): from the same county or a neighboring county","200","25-34 years old"
"Owner/operator of almond orchard(s)","Stanislaus","Central","30","Small","Yes","","Somewhat Satisfied","","We have no concerns about cover crops","","We rented all our bees","Out of state","190","65-74 years old"
"Owner/operator of almond orchard(s)","Merced","Central","8.5","Small","No","","","No","Availability of water","Prefer not to answer","We rented all our bees","Near your orchard(s): from the same county or a neighboring county","","Prefer not to answer"
"Owner/operator of almond orchard(s)","Stanislaus","Central","24","Small","No","","","Yes","Cost of equipment needed to plant seeds","Easy/affordable access to equipment needed to plant seeds","We rented all our bees","Near your orchard(s): from the same county or a neighboring county","175","25-34 years old"
"Owner/operator of almond orchard(s)","Stanislaus","Central","15","Small","No","","","Not sure","Effort/time to manage it,Availability of equipment needed to plant seeds","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Easy/affordable access to equipment needed to plant seeds","We rented all our bees","Out of state","180","25-34 years old"
"Owner/operator of almond orchard(s)","Stanislaus","Central","20","Small","Yes","Directly from seed company","Somewhat Satisfied","","Physical interference with operations","","We rented all our bees","California, but not a neighboring county","190","45-54 years old"
"Owner/operator of almond orchard(s)","Fresno","South","7000","Large","No","","","No","Availability of water,Incompatibility with irrigation system(s),Effort/time to manage it,Increased risk of frost damage","None of these are incentives","We rented all our bees","Out of state","200","35-44 years old"
"Owner/operator of almond orchard(s)","Stanislaus","Central","0","Small","No","","","No","Effort/time to manage it,Labor to grow/maintain it,Limited time for planting due to competing operations","Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom","Our orchards were not mature enough for bee pollination","","","25-34 years old"
"Owner/operator of almond orchard(s)","Merced","Central","7","Small","No","","","Not sure","Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Increased risk of frost damage","Associated benefits from non-pollination services (improved soil health, water filtration, etc.)","We rented all our bees","California, but not a neighboring county","150","55-64 years old"
"Owner/operator of almond orchard(s)","Stanislaus","Central","35","Small","No","","","No","Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Physical interference with operations","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom","We rented some bees and supplied some of our own","Near your orchard(s): from the same county or a neighboring county","150","45-54 years old"
"Owner/operator of almond orchard(s)","Merced","Central","31","Small","No","","","Yes","Availability of equipment needed to plant seeds,Cost of seeds,Increased risk of frost damage,Limited time for planting due to competing operations","Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds","We rented some bees and supplied some of our own","Near your orchard(s): from the same county or a neighboring county","190","25-34 years old"
"Owner/operator of almond orchard(s)","Fresno","South","40","Small","Yes","Private cost-share program (e.g., Seeds for Bees)","Somewhat Satisfied","","Increased risk of frost damage,Physical interference with operations","","We rented all our bees","Prefer not to answer","","55-64 years old"
"Owner/operator of almond orchard(s)","Fresno","South","590","Large","No","","","No","Availability of water,Effort/time to manage it,Increased risk of frost damage,Physical interference with operations","Decreased rental fee for managed bee colonies","We rented all our bees","California, but not a neighboring county","175","55-64 years old"
"Owner/operator of almond orchard(s)","Stanislaus","Central","40","Small","No","","","Not sure","Effort/time to manage it,Labor to grow/maintain it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom","We rented all our bees","California, but not a neighboring county","","35-44 years old"
"Owner/operator of almond orchard(s)","Stanislaus","Central","10","Small","Yes","Directly from seed company","Somewhat Satisfied","","Effort/time to manage it,Labor to grow/maintain it","","We rented all our bees","California, but not a neighboring county","245","35-44 years old"
"Owner, not responsible for day-to-day management","Merced","Central","23","Small","No","","","Yes","Availability of water,Expense of water,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","We rented all our bees","California, but not a neighboring county","185","25-34 years old"
"Owner/operator of almond orchard(s)","Stanislaus","Central","18","Small","Yes","PCA/CCA/Crop consultant","Somewhat Satisfied","","We have no concerns about cover crops","","We rented all our bees","Out of state","1.9","55-64 years old"
"Owner/operator of almond orchard(s)","Merced","Central","15","Small","No","","","Not sure","Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Inadequate soil type for cover crops,Limited time for planting due to competing operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","Prefer not to answer","Near your orchard(s): from the same county or a neighboring county","200","18-24 years old"
"Owner/operator of almond orchard(s)","Stanislaus","Central","8","Small","No","","","Not sure","Effort/time to manage it","Associated benefits from non-pollination services (improved soil health, water filtration, etc.)","We rented all our bees","Near your orchard(s): from the same county or a neighboring county","195","65-74 years old"
"Owner/operator of almond orchard(s)","Stanislaus","Central","39.8","Small","No","","","Not sure","Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Increased risk of frost damage,Limited time for planting due to competing operations,Physical interference with operations","Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","We rented all our bees","Out of state","190","55-64 years old"
